Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Central African Republic,2105.0,1810.0,0.0,3324.0,1472.0,862.0,955.0,2331.0,9120.0,17526.0,16313.0,10750.0,11750.0,23750.0,59000.0,62250.0,53000.0,56000.0,95500.0,84368.0,60250.0,47750.0,38750.0,43058.0,40943.0,9317.0,7011.0,6062.0,3879.0,15424.0,9313.0,4445.0,5268.0,4047.0,5601.0,28639.0,2538.0,5027.0,9929.0,9441.0,11496.0,10181.0,11683.0,4840.0,8099.0,8361.0,8623.0,8884.0
Chad,3229.0,2559.0,2600.0,2647.0,2650.0,3441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37500.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,69414111.0,71112040.0,74399334.0,74407631.0,90163294.0,84239618.0,100595292.0,105884451.0,107894604.0,114894577.0,110924795.0,112445578.0,125138145.0,126908536.0,130604481.0,136433006.0,142023687.0,142308028.0,145734917.0,162178373.0,170080716.0,184594716.0,196321247.0,209468355.0,226045778.0,254599784.0,317294825.0,342169949.0,372958225.0,442933873.0,464538633.0,475018827.0,456031386.0,493594643.0,544048478.0,534369424.0,539793814.0,558377899.0,536883570.0,538802503.0,541923687.0,530600267.0,551793331.0,584881887.0,581233981.0,588745641.0,596257301.0,603768961.0
China,54158036.0,65885324.0,83202966.0,80378504.0,86067704.0,94161717.0,95224221.0,92702548.0,106490436.0,113334234.0,116102754.0,111702108.0,150480862.0,158778969.0,182138171.0,217433073.0,237023105.0,259466228.0,270899332.0,305029125.0,316235424.0,313952137.0,352500251.0,410509198.0,469336832.0,443171934.0,448928120.0,480361572.0,453837354.0,455655069.0,476185360.0,514727551.0,564238358.0,663337178.0,796105011.0,966650163.0,1179962831.0,1389538011.0,1610921087.0,1938058755.0,2143224518.0,2521580675.0,2616482718.0,2906043063.0,3008555741.0,3209212224.0,3409868708.0,3610525192.0
Colombia,4245674.0,3996859.0,3929940.0,4472655.0,5352763.0,6179724.0,5947249.0,5262728.0,5152060.0,5474031.0,9771398.0,10044951.0,9444722.0,9321276.0,15779702.0,21382476.0,24318306.0,17163532.0,18378214.0,18712247.0,18707525.0,21817826.0,20873726.0,18583157.0,15506520.0,16049715.0,15952277.0,14450799.0,12461467.0,22619221.0,25541617.0,16658812.0,16444184.0,31472187.0,26844317.0,26848436.0,16388267.0,14474418.0,24307517.0,31280629.0,34668400.0,36526590.0,43375335.0,37645126.0,38869972.0,40349843.0,41829714.0,43309585.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4394.0,4020.0,4117.0,2465.0,3097.0,3468.0,3061.0,6631.0,5934.0,4055.0,3109.0,5362.0,4453.0,7450.0,14206.0,14745.0,14519.0,12090.0,14706.0,15624.0,16542.0,17460.0,18378.0
Costa Rica,41783.0,85517.0,145844.0,199420.0,241483.0,203383.0,151717.0,203362.0,235491.0,250940.0,257013.0,256421.0,335334.0,253351.0,260036.0,408961.0,186331.0,195217.0,199100.0,116649.0,122043.0,254209.0,184098.0,193804.0,454203.0,449117.0,1725877.0,633017.0,708808.0,567182.0,496543.0,480318.0,539302.0,573756.0,518309.0,469103.0,1183012.0,954966.0,762896.0,238826.0,747902.0,1271904.0,735187.0,722704.0,743288.0,763872.0,784456.0,805040.0
Cote d'Ivoire,22121.0,29002.0,11002.0,27072.0,11986.0,18153.0,51813.0,50326.0,74040.0,104448.0,0.0,48084.0,51764.0,32570.0,0.0,45027.0,0.0,0.0,1500.0,3250.0,5000.0,247250.0,416250.0,375000.0,465000.0,497775.0,472296.0,756892.0,1056291.0,911914.0,980344.0,1029809.0,998884.0,396293.0,336033.0,530220.0,497393.0,498536.0,1264096.0,1922649.0,1550806.0,2145381.0,1844799.0,3520963.0,4507747.0,4720934.0,4934121.0,5147308.0
Croatia,,,,,,,,,,,,,,,,,,,,,,,355590.0,318575.0,425056.0,449171.0,500021.0,683470.0,579759.0,558592.0,646277.0,939888.0,954348.0,1154535.0,1059348.0,1153576.0,1227977.0,1314685.0,1293379.0,836928.0,665888.0,486965.0,391851.0,496762.0,541979.0,503594.0,465209.0,426824.0
Cuba,18452240.0,18242885.0,18617649.0,17851092.0,17271864.0,18937219.0,18789208.0,18613923.0,17671329.0,16442961.0,19434046.0,20445865.0,19100401.0,19124736.0,16322921.0,16584320.0,17162068.0,18182609.0,21718964.0,23190384.0,19899763.0,16376351.0,15720875.0,14796632.0,13201161.0,20620224.0,25928186.0,29838430.0,32780309.0,32022511.0,34507451.0,36960885.0,35956187.0,37129771.0,35936014.0,36970166.0,36808850.0,36957849.0,33653175.0,32503721.0,32703706.0,34303853.0,32303792.0,33003319.0,25003210.0,24530692.0,24058175.0,23585657.0
Cyprus,42766.0,63732.0,73709.0,86594.0,50567.0,1539.0,34300.0,65310.0,68215.0,105204.0,62724.0,50197.0,73451.0,66369.0,71305.0,79762.0,85573.0,104987.0,100185.0,128623.0,133053.0,173570.0,202536.0,194040.0,207324.0,191102.0,171294.0,181487.0,254212.0,203345.0,241551.0,223240.0,270982.0,324989.0,356248.0,369917.0,376765.0,516216.0,539934.0,320305.0,367608.0,179566.0,82102.0,53439.0,61598.0,48353.0,35109.0,21864.0
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,12417832.0,6135327.0,10488192.0,9566502.0,14685796.0,9695717.0,7485941.0,8213675.0,8195501.0,7855447.0,9087889.0,10639966.0,8152831.0,9658388.0,7490267.0,8676251.0,5313332.0,6491604.0,7806141.0,5818897.0,6275592.0,5901485.0,5679625.0,5457765.0,5235905.0
Czechoslovakia,1983685.0,1951697.0,2191868.0,2282898.0,4022354.0,4039061.0,3833330.0,3799136.0,3885294.0,3964534.0,4281529.0,3795854.0,3726479.0,3857730.0,3926286.0,3883748.0,2965626.0,2892668.0,2821636.0,2795996.0,20596682.0,17251650.0,14813986.0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,491538.0,452355.0,556366.0,599768.0,4129587.0,3853982.0,2501946.0,2049878.0,2276333.0,2587339.0,2518974.0,2343056.0,2407615.0,2079453.0,2001672.0,1822542.0,1783032.0,1829304.0,1842864.0,2724151.0,2160013.0,1176335.0,1302765.0,827129.0,1413299.0,1450819.0,1180144.0,72247.0,1900571.0,729228.0,1307732.0,1377709.0,1654717.0,1013781.0,1869521.0,2198176.0,2787618.0,2365717.0,2326752.0,98642.0,32231.0,418293.0,671479.0,945315.0,421075.0,339108.0,257142.0,175175.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1063.0,0.0,3832.0,3320.0,3001.0,4543.0,1955.0,2029.0,2542.0,2686.0,3924.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,441.0,635.0,3559.0,653.0,0.0,0.0,0.0,381.0,747.0,747.0,2548.0,5277.0,0.0,0.0,0.0,3636.0,4954.0,6535.0,6794.0,6285.0,0.0,9515.0,13023.0,6778.0,5289.0,6813.0,6757.0,8932.0,7174.0,11246.0,9668.0,8633.0,2206.0,0.0,1462.0,1261.0,1060.0,864.0,670.0,476.0
